"Reference","Qty","Value","MANUFACTURER","Part Number","Description","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"VR1,VR2","2","10K","Bourns","3361P-1-103GLF","TRIMMER 10K OHM 0.5W GW TOP ADJ","","","","196_Project_Footprints:3361P-1-103GLF","https://www.bourns.com/docs/Product-Datasheets/3361.pdf"
"U2","1","74AHCT125S14-13","Diodes Incorporated","74AHCT125S14-13 ","IC BUFFER NON-INVERT 5.5V 14-SO","","","","196_Project_Footprints:74AHCT125S14-13","74AHCT125S14-13"
"U1","1","ESDA6V1L","STMicroelectronics","ESDA6V1L","TVS DIODE 5.25VWM SOT23-3","","","","196_Project_Footprints:SOT_DA6V1L_STM-M","https://www.st.com/resource/en/datasheet/esdal.pdf"
"SW1","1","C1353VQNAA","Bulgin","C1353VQNAA","SWITCH ROCKER DPST-NO 20A 250V","","","","196_Project_Footprints:C1353VQNAA",""
"R4","1","0","Vishay Dale","RCS12060000Z0EA","RES 0 OHM JUMPER 1W 1206","","","","Resistor_SMD:R_1206_3216Metric","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf"
"R3,R5","2","4k7","YAGEO","RC1206FR-074K7L ","RES 4.7K OHM 1% 1/4W 1206","","","","196_Project_Footprints:RC1206FR-074K7L","https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L"
"R2","1","16.2","Vishay Dale","CRCW120616R2FKEA","RES SMD 16.2 OHM 1% 1/4W 1206","","","","196_Project_Footprints:CRCW120616R2FKEA","https://www.vishay.com/docs/20035/dcrcwe3.pdf"
"R1,R6,R7,R8,R9","5","220","Stackpole Electronics Inc","RMCF1206FT220R","RES 220 OHM 1% 1/4W 1206","","","","196_Project_Footprints:RMCF1206FT220R","https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf"
"Q1","1","DMN2075U-7","Diodes Incorporated","DMN2075U-7","MOSFET N-CH 20V 4.2A SOT23-3","","","","196_Project_Footprints:SOT95P237X112-3N-2-V","https://www.infineon.com/assets/row/public/documents/24/49/infineon-irlml2502-datasheet-en.pdf"
"LS1","1","AI-3035-TWT-3V-R","PUI Audio, Inc.","AI-3035-TWT-3V-R ","BUZZER PIEZO 3V 30MM TH","","","","196_Project_Footprints:AI-3035-TWT-3V-R","https://puiaudio.com/file/specs-AI-3035-TWT-3V-R.pdf"
"J9,J10,J11,J12,J13,J14,J15,J16","8","TB002-500-02BE","CUI","TB002-500-02BE ","TERMINAL BLOCK, SCREW TYPE, 5.00","","","","196_Project_Footprints:TB002-500-02BE","https://www.sameskydevices.com/product/resource/tb002-500.pdf"
"J8","1","OSTT7020150","On Shore Technology Inc.","OSTT7020150","TERM BLK 2P SIDE ENT 6.35MM PCB","","","","196_Project_Footprints:OSTT7020150","OSTT7020150"
"J6,J7","2","Conn_01x04_Socket","Würth Elektronik","61300411121","CONN HEADER VERT 4POS 2.54MM","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","https://www.amazon.com/128x32-SSD1306-Consumption-Display-Arduino/dp/B07PDFCVXL#averageCustomerReviewsAnchor"
"J4,J5","2","Conn_20to49","Würth Elektronik","61302011121","CONN HEADER VERT 20POS 2.54MM","","","","196_Project_Footprints:196_Conn_20to48",""
"J2","1","Conn_01x08_Socket","Würth Elektronik","61300811121","CONN HEADER VERT 8POS 2.54MM","","","","196_Project_Footprints:PinSocket_1x08_P2.54mm_Vertical","https://www.amazon.com/SunFounder-Mifare-Reader-Arduino-Raspberry/dp/B07KGBJ9VG/ref=sr_1_3?dib=eyJ2IjoiMSJ9.yvDJePx0UlI-9HsQPl4IT-cq6H78qk2ST37iKjXx1NuBg9FHb-bhDaG-kQeCzBvtwuo5P2XCccBw62fq3kC94eGzlfcMEf17CwxIEm_taLj0WAQLXR0dPY7DZszj9i2bv94jHfeP6H9IyhBq_Ld6oGZSAQnrbGB96Y9ZN1Pg0cvspfr-v9wMIjidH1Y4cL1Y_NoPlV8gUdB_zLFgaHjaBUy3IoshFtxPg6jWcgnMh54.S2thWVIkB0Czhns8cMDZEkgNowdJKAUFPJ15oQyFQ50&dib_tag=se&keywords=RFID+Readers&qid=1777266696&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-3"
"J1,J3","2","Conn_1to20","Würth Elektronik","61302011121","CONN HEADER VERT 20POS 2.54MM","","","","196_Project_Footprints:196_Conn_1to20",""
"D1,D2,D3,D4,D5,D6,D7,D8","8","CMD17-21VGD/TR8","Visual Communications Company - VCC","CMD17-21VGD/TR8 ","LED GREEN DIFFUSED 0805 SMD","","","","196_Project_Footprints:CMD17-21VGD_TR8","CMD17-21VGD/TR8"
"C3,C4,C5,C6,C8,C9","6","470uF","Rubycon","25ZLH470MEFC10X12.5","CAP ALUM 470UF 20% 25V RADIAL TH","","","","196_Project_Footprints:25ZLH470MEFC10X12","https://www.rubycon.co.jp/wp-content/uploads/catalog-aluminum/ZLH.pdf"
"C2","1","1uF","Aillen","1206B105K250JC ","CAP SMD 1206 X7R 1UF 10 25V","","","","196_Project_Footprints:1206B105K250JC","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5660/3372_1206B105K250JC.pdf"
"C1,C7","2","0.1uF","Aillen","1206B104K500BD","CAP CER 0.1UF 50V X7R 1206","","","","196_Project_Footprints:1206B104K500BD","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6490/3372_1206B104K500BD.pdf"
