pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
206.1875,-77.0375,180.0,top,C1,CL31B104KBCNNNC,,CL31B104KBCNNNC,0.1uF,smt
206.1875,-80.0375,180.0,top,C2,CL31B105KAHNNNE,,CL31B105KAHNNNE,1uF,smt
229.0,-140.83325,90.0,top,C3,25ZLH470MEFC10X12.5,,25ZLH470MEFC10X12,470uF,tht
229.0,-154.83325,90.0,top,C4,25ZLH470MEFC10X12.5,,25ZLH470MEFC10X12,470uF,tht
229.0,-114.83325,90.0,top,C5,25ZLH470MEFC10X12.5,,25ZLH470MEFC10X12,470uF,tht
229.0,-128.0,90.0,top,C6,25ZLH470MEFC10X12.5,,25ZLH470MEFC10X12,470uF,tht
198.8125,-112.9625,0.0,top,C7,CL31B104KBCNNNC,,CL31B104KBCNNNC,0.1uF,smt
229.0,-88.83325,90.0,top,C8,25ZLH470MEFC10X12.5,,25ZLH470MEFC10X12,470uF,tht
229.0,-101.83325,90.0,top,C9,25ZLH470MEFC10X12.5,,25ZLH470MEFC10X12,470uF,tht
169.5,-159.75,180.0,top,D1,CMD17-21VGD/TR8 ,,CMD17-21VGD_TR8,CMD17-21VGD/TR8,smt
169.6,-139.0,180.0,top,D2,CMD17-21VGD/TR8 ,,CMD17-21VGD_TR8,CMD17-21VGD/TR8,smt
248.8,-71.2,0.0,top,D3,CMD17-21VGD/TR8 ,,CMD17-21VGD_TR8,CMD17-21VGD/TR8,smt
249.0,-92.0,0.0,top,D4,CMD17-21VGD/TR8 ,,CMD17-21VGD_TR8,CMD17-21VGD/TR8,smt
249.0,-160.75,-90.0,top,D5,CMD17-21VGD/TR8 ,,CMD17-21VGD_TR8,CMD17-21VGD/TR8,smt
249.0,-139.0,0.0,top,D6,CMD17-21VGD/TR8 ,,CMD17-21VGD_TR8,CMD17-21VGD/TR8,smt
169.565,-70.0,180.0,top,D7,CMD17-21VGD/TR8 ,,CMD17-21VGD_TR8,CMD17-21VGD/TR8,smt
169.6,-92.0,180.0,top,D8,CMD17-21VGD/TR8 ,,CMD17-21VGD_TR8,CMD17-21VGD/TR8,smt
241.697056,-75.197056,0.0,top,H1,,,MountingHole_3.2mm_M3_Pad_Via,MountingHole,tht
174.25,-75.25,0.0,top,H2,,,MountingHole_3.2mm_M3_Pad_Via,MountingHole,tht
173.8,-150.4,0.0,top,H3,,,MountingHole_3.2mm_M3_Pad_Via,MountingHole,tht
178.03,-110.22,0.0,top,J1,PH1-20-UA,,196_Conn_1to20,Conn_1to20,smt
241.8375,-141.9,90.0,top,J10,TB002-500-02BE ,,TB002-500-02BE,TB002-500-02BE,tht
241.8375,-155.5,90.0,top,J11,TB002-500-02BE ,,TB002-500-02BE,TB002-500-02BE,tht
241.8375,-115.5,90.0,top,J12,TB002-500-02BE ,,TB002-500-02BE,TB002-500-02BE,tht
241.8375,-128.5,90.0,top,J13,TB002-500-02BE ,,TB002-500-02BE,TB002-500-02BE,tht
203.0,-157.8375,0.0,top,J14,TB002-500-02BE ,,TB002-500-02BE,TB002-500-02BE,tht
241.8375,-89.0,90.0,top,J15,TB002-500-02BE ,,TB002-500-02BE,TB002-500-02BE,tht
241.8375,-102.3,90.0,top,J16,TB002-500-02BE ,,TB002-500-02BE,TB002-500-02BE,tht
