Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",CL31B104KBCNNNC,2,0.1uF,
C2,CL31B105KAHNNNE,1,1uF,
"C3, C4, C5, C6, C8, C9",25ZLH470MEFC10X12,6,470uF,
"D1, D2, D3, D4, D5, D6, D7, D8",CMD17-21VGD_TR8,8,CMD17-21VGD/TR8,
"J1, J3",196_Conn_1to20,2,Conn_1to20,
"J10, J11, J12, J13, J14, J15, J16, J9",TB002-500-02BE,8,TB002-500-02BE,
J2,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08_Socket,
"J4, J5",196_Conn_20to48,2,Conn_20to49,
"J6, J7",PinSocket_1x04_P2.54mm_Vertical,2,Conn_01x04_Socket,
J8,OSTT7020150,1,OSTT7020150,
LS1,Buzzer_12x9.5RM7.6,1,AI-3035-TWT-3V-R,
Q1,SOT95P237X112-3N-2-V,1,DMN2075U-7,
R1,1206,1,4k7,
R10,1206,1,220,
R2,CRCW120616R2FKEA,1,16.2,
"R3, R5",RC1206FR-074K7L,2,4k7,
"R6, R7, R8, R9",RMCF1206FT220R,4,220,
SW1,GRB066L02BBGGL1,1,GRB066L02BBGGL1,
U1,SOT_DA6V1L_STM-M,1,ESDA6V1L,
U2,74AHCT125S14-13,1,74AHCT125S14-13,
"VR1, VR2",3361P-1-103GLF,2,10K,
