Designator,Mid X,Mid Y,Rotation,Layer
C1,206.1875,-77.0375,180.0,top
C2,206.1875,-80.0375,180.0,top
C3,229.0,-138.33325,90.0,top
C4,229.0,-152.33325,90.0,top
C5,229.0,-112.33325,90.0,top
C6,229.0,-125.5,90.0,top
C7,198.8125,-112.9625,0.0,top
C8,229.0,-86.33325,90.0,top
C9,229.0,-99.33325,90.0,top
D1,162.0033,-160.0,180.0,top
D2,162.0033,-139.0,270.0,top
D3,249.0,-71.2,90.0,top
D4,248.6,-92.0,0.0,top
D5,247.9967,-161.0,0.0,top
D6,249.0,-139.0,0.0,top
D7,162.0,-70.0,90.0,top
D8,163.0,-92.0,90.0,top
H1,241.697056,-76.302944,0.0,top
H2,169.6,-76.302944,0.0,top
H3,169.302944,-139.197056,0.0,top
J1,181.18,-162.02,180.0,top
J10,241.8375,-139.4,90.0,top
J11,241.8375,-153.0,90.0,top
J12,241.8375,-113.0,90.0,top
J13,241.8375,-126.0,90.0,top
J14,205.5,-157.8375,0.0,top
J15,241.8375,-86.5,90.0,top
J16,241.8375,-99.8,90.0,top
J2,163.0,-116.0,180.0,top
J3,185.77,-162.02,180.0,top
J4,214.5,-136.1,0.0,top
J5,219.25,-136.11,0.0,top
J6,195.59,-140.38,180.0,top
J7,191.0,-140.38,180.0,top
J8,214.1905,-73.251601,0.0,top
J9,193.0,-157.8375,0.0,top
LS1,191.0,-76.8,90.0,top
NT1,228.0,-78.0,0.0,top
Q1,208.0,-110.0,90.0,top
R1,208.25,-114.75,0.0,top
R10,234.0,-77.0,180.0,top
R2,213.3155,-106.6815,0.0,top
R3,187.0135,-142.5505,90.0,top
R5,189.068,-143.3295,270.0,top
R6,190.8295,-118.3935,0.0,top
R7,190.8295,-122.3935,0.0,top
R8,209.1705,-122.3665,180.0,top
R9,209.1705,-126.3665,180.0,top
SW1,230.766,-72.865,180.0,top
U1,224.0,-78.0,90.0,top
U2,200.0,-121.38,0.0,top
VR1,171.8,-149.38,0.0,top
VR2,171.8,-158.38,0.0,top
